way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
tf5_0.844,0.836035,0.048423,0.5,40.0,100.0
tf5_0.844,0.839415,0.049297,0.5,40.0,150.0
tf5_0.844,0.838029,0.049958,0.5,40.0,200.0
tf5_0.844,0.838959,0.04814,0.5,40.0,250.0
tf5_0.844,0.836609,0.050047,0.5,60.0,31.0
tf5_0.844,0.837691,0.051527,0.5,60.0,50.0
tf5_0.844,0.836305,0.047717,0.5,60.0,100.0
tf5_0.844,0.840277,0.048716,0.5,60.0,150.0
tf5_0.844,0.838063,0.04867,0.5,60.0,200.0
tf5_0.844,0.838148,0.047721,0.5,60.0,250.0
tf5_0.844,0.837962,0.051002,0.5,80.0,31.0
tf5_0.844,0.836711,0.051486,0.5,80.0,50.0
tf5_0.844,0.835917,0.047433,0.5,80.0,100.0
tf5_0.844,0.839804,0.048775,0.5,80.0,150.0
tf5_0.844,0.837421,0.048134,0.5,80.0,200.0
tf5_0.844,0.837826,0.047727,0.5,80.0,250.0
tf5_0.844,0.837488,0.050902,0.5,100.0,31.0
tf5_0.844,0.837657,0.050728,0.5,100.0,50.0
tf5_0.844,0.835426,0.047484,0.5,100.0,100.0
tf5_0.844,0.839939,0.04856,0.5,100.0,150.0
tf5_0.844,0.837607,0.048446,0.5,100.0,200.0
tf5_0.844,0.838046,0.047698,0.5,100.0,250.0
tf5_0.844,0.83688,0.050803,0.5,120.0,31.0
tf5_0.844,0.837624,0.050846,0.5,120.0,50.0
tf5_0.844,0.834936,0.046548,0.5,120.0,100.0
tf5_0.844,0.839567,0.047964,0.5,120.0,150.0
tf5_0.844,0.837438,0.048175,0.5,120.0,200.0
tf5_0.844,0.837843,0.04749,0.5,120.0,250.0
tf5_0.844,0.836542,0.050548,0.5,140.0,31.0
tf5_0.844,0.837928,0.050731,0.5,140.0,50.0
tf5_0.844,0.834936,0.046852,0.5,140.0,100.0
tf5_0.844,0.839432,0.048311,0.5,140.0,150.0
tf5_0.844,0.837522,0.048306,0.5,140.0,200.0
tf5_0.844,0.837505,0.047294,0.5,140.0,250.0
tf5_0.844,0.836609,0.049975,0.5,160.0,31.0
tf5_0.844,0.837742,0.050784,0.5,160.0,50.0
tf5_0.844,0.834514,0.046084,0.5,160.0,100.0
tf5_0.844,0.839043,0.047999,0.5,160.0,150.0
tf5_0.844,0.83759,0.048111,0.5,160.0,200.0
tf5_0.844,0.837066,0.047073,0.5,160.0,250.0
tf5_0.844,0.836086,0.049989,0.5,180.0,31.0
tf5_0.844,0.837894,0.050841,0.5,180.0,50.0
tf5_0.844,0.834801,0.046077,0.5,180.0,100.0
tf5_0.844,0.839145,0.048198,0.5,180.0,150.0
tf5_0.844,0.837674,0.048489,0.5,180.0,200.0
tf5_0.844,0.837133,0.046986,0.5,180.0,250.0
tf5_0.844,0.835967,0.049915,0.5,200.0,31.0
tf5_0.844,0.83781,0.050805,0.5,200.0,50.0
tf5_0.844,0.834919,0.046378,0.5,200.0,100.0
tf5_0.844,0.839077,0.048074,0.5,200.0,150.0
tf5_0.844,0.837725,0.048307,0.5,200.0,200.0
tf5_0.844,0.837133,0.047112,0.5,200.0,250.0
tf5_0.844,0.836153,0.049709,0.5,220.0,31.0
tf5_0.844,0.837455,0.050895,0.5,220.0,50.0
tf5_0.844,0.834784,0.046383,0.5,220.0,100.0
tf5_0.844,0.838976,0.04798,0.5,220.0,150.0
tf5_0.844,0.837556,0.048478,0.5,220.0,200.0
tf5_0.844,0.837252,0.047267,0.5,220.0,250.0
tf5_0.844,0.798699,0.035628,1.0,40.0,31.0
tf5_0.844,0.809364,0.04521,1.0,40.0,50.0
tf5_0.844,0.744849,0.1468,1.0,40.0,100.0
tf5_0.844,0.828142,0.064974,1.0,40.0,150.0
tf5_0.844,0.838148,0.047995,1.0,40.0,200.0
tf5_0.844,0.836255,0.043205,1.0,40.0,250.0
tf5_0.844,0.80049,0.036687,1.0,60.0,31.0
tf5_0.844,0.814874,0.058889,1.0,60.0,50.0
tf5_0.844,0.745204,0.146821,1.0,60.0,100.0
tf5_0.844,0.828547,0.064462,1.0,60.0,150.0
tf5_0.844,0.837725,0.047519,1.0,60.0,200.0
tf5_0.844,0.836762,0.042194,1.0,60.0,250.0
tf5_0.844,0.809735,0.04828,1.0,80.0,31.0
tf5_0.844,0.812727,0.0588,1.0,80.0,50.0
tf5_0.844,0.745086,0.14663,1.0,80.0,100.0
tf5_0.844,0.828581,0.064129,1.0,80.0,150.0
tf5_0.844,0.837793,0.047522,1.0,80.0,200.0
tf5_0.844,0.837201,0.042201,1.0,80.0,250.0
tf5_0.844,0.814941,0.049909,1.0,100.0,31.0
tf5_0.844,0.804699,0.036002,1.0,100.0,50.0
tf5_0.844,0.744951,0.146502,1.0,100.0,100.0
tf5_0.844,0.82799,0.063934,1.0,100.0,150.0
tf5_0.844,0.837353,0.047438,1.0,100.0,200.0
tf5_0.844,0.837286,0.042392,1.0,100.0,250.0
tf5_0.844,0.801758,0.045754,1.0,120.0,31.0
tf5_0.844,0.803685,0.035741,1.0,120.0,50.0
tf5_0.844,0.745035,0.146537,1.0,120.0,100.0
tf5_0.844,0.828243,0.063995,1.0,120.0,150.0
tf5_0.844,0.837302,0.047463,1.0,120.0,200.0
tf5_0.844,0.837438,0.04241,1.0,120.0,250.0
tf5_0.844,0.750038,0.07005,1.0,140.0,31.0
tf5_0.844,0.806,0.03634,1.0,140.0,50.0
tf5_0.844,0.745204,0.14669,1.0,140.0,100.0
tf5_0.844,0.828192,0.06385,1.0,140.0,150.0
tf5_0.844,0.837353,0.047457,1.0,140.0,200.0
tf5_0.844,0.83759,0.042421,1.0,140.0,250.0
tf5_0.844,0.757796,0.070096,1.0,160.0,31.0
tf5_0.844,0.815854,0.044661,1.0,160.0,50.0
tf5_0.844,0.744984,0.146483,1.0,160.0,100.0
tf5_0.844,0.82755,0.063345,1.0,160.0,150.0
tf5_0.844,0.837235,0.047303,1.0,160.0,200.0
tf5_0.844,0.837573,0.042566,1.0,160.0,250.0
tf5_0.844,0.759097,0.068145,1.0,180.0,31.0
tf5_0.844,0.796552,0.037635,1.0,180.0,50.0
tf5_0.844,0.745018,0.146497,1.0,180.0,100.0
tf5_0.844,0.827719,0.06337,1.0,180.0,150.0
tf5_0.844,0.837184,0.047412,1.0,180.0,200.0
tf5_0.844,0.837083,0.042151,1.0,180.0,250.0
tf5_0.844,0.74517,0.060128,1.0,200.0,31.0
tf5_0.844,0.796434,0.037503,1.0,200.0,50.0
tf5_0.844,0.744967,0.146441,1.0,200.0,100.0
tf5_0.844,0.827668,0.063357,1.0,200.0,150.0
tf5_0.844,0.837117,0.047244,1.0,200.0,200.0
tf5_0.844,0.837353,0.042376,1.0,200.0,250.0
tf5_0.844,0.747993,0.060831,1.0,220.0,31.0
tf5_0.844,0.796298,0.037294,1.0,220.0,50.0
tf5_0.844,0.745322,0.14677,1.0,220.0,100.0
tf5_0.844,0.827702,0.063364,1.0,220.0,150.0
tf5_0.844,0.837015,0.04715,1.0,220.0,200.0
tf5_0.844,0.837269,0.042394,1.0,220.0,250.0
kf5_0.85,0.583033,0.078073,0.001,40.0,31.0
kf5_0.85,0.583033,0.078073,0.001,40.0,50.0
kf5_0.85,0.583033,0.078073,0.001,40.0,100.0
kf5_0.85,0.583033,0.078073,0.001,40.0,150.0
kf5_0.85,0.583033,0.078073,0.001,40.0,200.0
kf5_0.85,0.583033,0.078073,0.001,40.0,250.0
kf5_0.85,0.583033,0.078073,0.001,60.0,31.0
kf5_0.85,0.583033,0.078073,0.001,60.0,50.0
kf5_0.85,0.583033,0.078073,0.001,60.0,100.0
kf5_0.85,0.583033,0.078073,0.001,60.0,150.0
kf5_0.85,0.583033,0.078073,0.001,60.0,200.0
kf5_0.85,0.583033,0.078073,0.001,60.0,250.0
kf5_0.85,0.583033,0.078073,0.001,80.0,31.0
kf5_0.85,0.583033,0.078073,0.001,80.0,50.0
kf5_0.85,0.583033,0.078073,0.001,80.0,100.0
kf5_0.85,0.583033,0.078073,0.001,80.0,150.0
kf5_0.85,0.583033,0.078073,0.001,80.0,200.0
kf5_0.85,0.583033,0.078073,0.001,80.0,250.0
kf5_0.85,0.583033,0.078073,0.001,100.0,31.0
kf5_0.85,0.583033,0.078073,0.001,100.0,50.0
kf5_0.85,0.583033,0.078073,0.001,100.0,100.0
kf5_0.85,0.583033,0.078073,0.001,100.0,150.0
kf5_0.85,0.583033,0.078073,0.001,100.0,200.0
kf5_0.85,0.583033,0.078073,0.001,100.0,250.0
kf5_0.85,0.583033,0.078073,0.001,120.0,31.0
kf5_0.85,0.583512,0.078589,0.001,120.0,50.0
kf5_0.85,0.584723,0.079929,0.001,120.0,100.0
kf5_0.85,0.587991,0.083788,0.001,120.0,150.0
kf5_0.85,0.607329,0.111839,0.001,120.0,200.0
kf5_0.85,0.609934,0.116086,0.001,120.0,250.0
kf5_0.85,0.661832,0.168263,0.001,140.0,31.0
kf5_0.85,0.661311,0.167811,0.001,140.0,50.0
kf5_0.85,0.651833,0.155676,0.001,140.0,100.0
kf5_0.85,0.662156,0.168658,0.001,140.0,150.0
kf5_0.85,0.66348,0.170355,0.001,140.0,200.0
kf5_0.85,0.662931,0.169609,0.001,140.0,250.0
kf5_0.85,0.70072,0.17525,0.001,160.0,31.0
kf5_0.85,0.701086,0.176231,0.001,160.0,50.0
kf5_0.85,0.705818,0.178629,0.001,160.0,100.0
kf5_0.85,0.704748,0.177219,0.001,160.0,150.0
